iter	Passed	Remaining
885	22027	15264
886	22052	15240
887	22076	15214
888	22100	15189
889	22125	15164
890	22150	15140
891	22175	15114
892	22200	15090
893	22224	15064
894	22248	15039
895	22272	15014
896	22296	14988
897	22319	14962
898	22343	14937
899	22367	14911
900	22391	14886
901	22415	14860
902	22439	14835
903	22462	14809
904	22487	14784
905	22511	14759
906	22537	14735
907	22562	14710
908	22585	14684
909	22609	14658
910	22635	14634
911	22660	14609
912	22683	14583
913	22708	14559
914	22733	14534
915	22756	14508
916	22780	14483
917	22803	14457
918	22828	14432
919	22852	14407
920	22876	14381
921	22901	14356
922	22925	14331
923	22956	14310
924	22980	14285
925	23004	14259
926	23029	14235
927	23053	14209
928	23078	14184
929	23103	14159
930	23127	14135
931	23152	14109
932	23175	14084
933	23201	14060
934	23225	14034
935	23250	14009
936	23275	13985
937	23300	13960
938	23324	13935
939	23348	13909
940	23373	13884
941	23396	13859
942	23420	13833
943	23444	13808
944	23480	13790
945	23504	13764
946	23528	13739
947	23552	13714
948	23577	13689
949	23600	13663
950	23624	13638
951	23650	13613
952	23674	13588
953	23698	13563
954	23722	13538
955	23746	13512
956	23770	13487
957	23796	13462
958	23819	13437
959	23843	13412
960	23867	13386
961	23891	13361
962	23914	13335
963	23937	13309
964	23962	13285
965	23986	13259
966	24010	13234
967	24035	13209
968	24060	13184
969	24084	13159
970	24125	13143
971	24152	13119
972	24179	13096
973	24220	13080
974	24244	13054
975	24271	13031
976	24295	13005
977	24321	12981
978	24346	12956
979	24370	12931
980	24395	12906
981	24420	12881
982	24444	12856
983	24476	12835
984	24513	12816
985	24536	12790
986	24562	12766
987	24587	12741
988	24613	12717
989	24639	12693
990	24665	12668
991	24690	12643
992	24715	12619
993	24742	12595
994	24769	12571
995	24793	12545
996	24816	12520
997	24840	12494
998	24864	12469
999	24888	12444
1000	24911	12418
1001	24935	12393
1002	24958	12367
1003	24982	12341
1004	25006	12316
1005	25030	12291
1006	25055	12266
1007	25081	12241
1008	25104	12216
1009	25129	12191
1010	25155	12166
1011	25179	12142
1012	25203	12116
1013	25227	12091
1014	25250	12065
1015	25275	12040
1016	25299	12015
1017	25325	11991
1018	25350	11966
1019	25373	11940
1020	25398	11915
1021	25424	11891
1022	25449	11866
1023	25473	11841
1024	25497	11815
1025	25524	11792
1026	25548	11766
1027	25572	11741
1028	25595	11715
1029	25620	11690
1030	25644	11665
1031	25675	11643
1032	25699	11618
1033	25724	11593
1034	25747	11567
1035	25771	11542
1036	25795	11517
1037	25819	11491
1038	25842	11466
1039	25865	11440
1040	25889	11415
1041	25913	11389
1042	25936	11364
1043	25961	11339
1044	25985	11314
1045	26008	11288
1046	26034	11264
1047	26059	11239
1048	26083	11214
1049	26108	11189
1050	26132	11163
1051	26155	11138
1052	26180	11113
1053	26204	11088
1054	26228	11063
1055	26252	11037
1056	26276	11012
1057	26299	10987
1058	26324	10962
1059	26347	10936
1060	26371	10911
1061	26395	10886
1062	26419	10861
1063	26444	10836
1064	26467	10810
1065	26492	10785
1066	26516	10760
1067	26539	10735
1068	26563	10709
1069	26587	10684
1070	26610	10658
1071	26634	10633
1072	26658	10608
1073	26681	10583
1074	26706	10558
1075	26733	10534
1076	26756	10508
1077	26781	10483
1078	26804	10458
1079	26828	10433
1080	26851	10407
1081	26875	10382
1082	26898	10357
1083	26922	10331
1084	26946	10306
1085	26985	10287
1086	27010	10262
1087	27034	10237
1088	27061	10213
1089	27086	10188
1090	27111	10163
1091	27137	10139
1092	27163	10114
1093	27189	10090
1094	27213	10065
1095	27236	10039
1096	27259	10014
1097	27284	9989
1098	27307	9964
1099	27332	9938
1100	27358	9914
1101	27383	9889
1102	27408	9865
1103	27434	9840
1104	27459	9815
1105	27482	9790
1106	27509	9766
1107	27534	9741
1108	27575	9722
1109	27601	9697
1110	27624	9672
1111	27649	9647
1112	27673	9622
1113	27697	9597
1114	27721	9572
1115	27748	9547
1116	27772	9522
1117	27795	9497
1118	27820	9472
1119	27843	9446
1120	27867	9421
1121	27892	9396
1122	27916	9371
1123	27940	9346
1124	27967	9322
1125	27998	9299
1126	28029	9276
1127	28057	9252
1128	28084	9228
1129	28110	9204
1130	28135	9179
1131	28160	9154
1132	28196	9133
1133	28221	9108
1134	28245	9083
1135	28269	9058
1136	28293	9032
1137	28317	9007
1138	28342	8982
1139	28366	8957
1140	28390	8932
1141	28415	8907
1142	28442	8883
1143	28468	8858
1144	28494	8834
1145	28520	8810
1146	28545	8785
1147	28570	8760
1148	28594	8735
1149	28619	8710
1150	28643	8685
1151	28669	8660
1152	28694	8635
1153	28719	8610
1154	28743	8585
1155	28767	8560
1156	28791	8535
1157	28817	8510
1158	28842	8485
1159	28866	8460
1160	28890	8435
1161	28913	8410
1162	28937	8385
1163	28962	8360
1164	28989	8335
1165	29012	8310
1166	29036	8285
1167	29061	8260
1168	29085	8235
1169	29111	8210
1170	29135	8185
1171	29159	8160
1172	29186	8136
1173	29210	8111
1174	29233	8085
1175	29258	8061
1176	29281	8035
1177	29304	8010
1178	29329	7985
1179	29355	7960
1180	29381	7936
1181	29406	7911
1182	29430	7886
1183	29454	7861
1184	29481	7836
1185	29507	7812
1186	29531	7787
1187	29556	7762
1188	29580	7737
1189	29605	7712
1190	29631	7687
1191	29657	7663
1192	29683	7638
1193	29707	7613
1194	29733	7588
1195	29771	7567
1196	29795	7542
1197	29820	7517
1198	29844	7492
1199	29870	7467
1200	29898	7443
1201	29924	7418
1202	29948	7393
1203	29973	7368
1204	29999	7344
1205	30034	7321
1206	30072	7300
1207	30098	7275
1208	30125	7250
1209	30151	7226
1210	30179	7202
1211	30206	7177
1212	30231	7152
1213	30256	7127
1214	30281	7103
1215	30306	7078
1216	30332	7053
1217	30357	7028
1218	30381	7003
1219	30405	6978
1220	30429	6953
1221	30453	6928
1222	30476	6902
1223	30501	6877
1224	30524	6852
1225	30547	6827
1226	30572	6802
1227	30596	6777
1228	30622	6752
1229	30646	6727
1230	30670	6702
1231	30693	6676
1232	30719	6652
1233	30744	6627
1234	30768	6602
1235	30792	6577
1236	30816	6551
1237	30840	6526
1238	30865	6501
1239	30891	6477
1240	30916	6452
1241	30940	6427
1242	30963	6401
1243	30986	6376
1244	31011	6351
1245	31035	6326
1246	31058	6301
1247	31082	6276
1248	31108	6251
1249	31131	6226
1250	31157	6201
1251	31180	6176
1252	31206	6151
1253	31229	6126
1254	31253	6101
1255	31277	6076
1256	31300	6050
1257	31324	6025
1258	31348	6000
1259	31373	5975
1260	31398	5951
1261	31425	5926
1262	31451	5901
1263	31474	5876
1264	31497	5851
1265	31521	5826
1266	31545	5801
1267	31569	5776
1268	31593	5751
1269	31617	5726
1270	31641	5700
1271	31665	5675
1272	31690	5651
1273	31714	5625
1274	31738	5600
1275	31762	5575
1276	31785	5550
1277	31809	5525
1278	31833	5500
1279	31857	5475
1280	31881	5450
1281	31905	5425
1282	31931	5400
1283	31955	5375
1284	31979	5350
1285	32004	5325
1286	32026	5300
1287	32050	5275
1288	32074	5250
1289	32099	5225
1290	32125	5200
1291	32150	5175
1292	32179	5151
1293	32205	5127
1294	32230	5102
1295	32255	5077
1296	32280	5052
1297	32305	5027
1298	32329	5002
1299	32353	4977
1300	32376	4952
1301	32398	4927
1302	32422	4901
1303	32448	4877
1304	32472	4852
1305	32496	4827
1306	32520	4802
1307	32543	4777
1308	32567	4751
1309	32590	4726
1310	32616	4702
1311	32640	4677
1312	32663	4652
1313	32688	4627
1314	32713	4602
1315	32736	4577
1316	32760	4552
1317	32784	4527
1318	32808	4502
1319	32831	4477
1320	32856	4452
1321	32879	4427
1322	32903	4402
1323	32926	4376
1324	32967	4354
1325	32993	4329
1326	33021	4304
1327	33048	4280
1328	33073	4255
1329	33099	4230
1330	33124	4205
1331	33150	4181
1332	33175	4156
1333	33201	4131
1334	33229	4107
1335	33253	4082
1336	33278	4057
1337	33303	4032
1338	33328	4007
1339	33353	3982
1340	33376	3957
1341	33408	3933
1342	33432	3908
1343	33456	3883
1344	33479	3858
1345	33506	3833
1346	33534	3809
1347	33559	3784
1348	33584	3759
1349	33614	3734
1350	33639	3710
1351	33664	3685
1352	33687	3660
1353	33714	3635
1354	33738	3610
1355	33782	3587
1356	33809	3562
1357	33836	3538
1358	33861	3513
1359	33887	3488
1360	33913	3463
1361	33939	3438
1362	33965	3413
1363	33991	3389
1364	34017	3364
1365	34041	3339
1366	34069	3314
1367	34095	3289
1368	34120	3264
1369	34146	3240
1370	34171	3215
1371	34197	3190
1372	34224	3165
1373	34249	3140
1374	34273	3115
1375	34297	3090
1376	34322	3065
1377	34345	3040
1378	34368	3015
1379	34392	2990
1380	34416	2965
1381	34440	2940
1382	34464	2915
1383	34491	2890
1384	34513	2865
1385	34536	2840
1386	34560	2815
1387	34584	2790
1388	34611	2765
1389	34637	2741
1390	34661	2716
1391	34686	2691
1392	34714	2666
1393	34739	2641
1394	34763	2616
1395	34787	2591
1396	34812	2566
1397	34837	2541
1398	34861	2516
1399	34885	2491
1400	34909	2466
1401	34933	2441
1402	34963	2417
1403	34988	2392
1404	35014	2367
1405	35039	2342
1406	35064	2317
1407	35088	2292
1408	35114	2267
1409	35139	2242
1410	35164	2218
1411	35189	2193
1412	35213	2168
1413	35249	2143
1414	35273	2118
1415	35296	2093
1416	35333	2069
1417	35359	2044
1418	35383	2019
1419	35410	1994
1420	35435	1970
1421	35460	1945
1422	35485	1920
1423	35509	1895
1424	35533	1870
1425	35556	1845
1426	35580	1820
1427	35620	1796
1428	35648	1771
1429	35671	1746
1430	35695	1721
1431	35719	1696
1432	35743	1671
1433	35768	1646
1434	35805	1621
1435	35828	1596
1436	35853	1571
1437	35876	1546
1438	35900	1521
1439	35927	1496
1440	35950	1471
1441	35972	1446
1442	35996	1421
1443	36023	1397
1444	36046	1371
1445	36068	1346
1446	36092	1321
1447	36116	1297
1448	36140	1272
1449	36164	1247
1450	36188	1222
1451	36212	1197
1452	36254	1172
1453	36278	1147
1454	36303	1122
1455	36325	1097
1456	36350	1072
1457	36372	1047
1458	36395	1022
1459	36418	997
1460	36442	972
1461	36465	947
1462	36488	922
1463	36511	897
1464	36535	872
1465	36559	847
1466	36585	822
1467	36608	798
1468	36632	773
1469	36655	748
1470	36679	723
1471	36705	698
1472	36730	673
1473	36755	648
1474	36779	623
1475	36802	598
1476	36825	573
1477	36848	548
1478	36871	523
1479	36895	498
1480	36919	473
1481	36943	448
1482	36968	423
1483	36992	398
1484	37016	373
1485	37043	348
1486	37066	324
1487	37089	299
1488	37114	274
1489	37138	249
1490	37162	224
1491	37186	199
1492	37210	174
1493	37234	149
1494	37261	124
1495	37285	99
1496	37309	74
1497	37332	49
1498	37356	24
1499	37379	0
